stnname,country_left,country_right
Allée de Corcellote,FRA,FRA
Allée de Côte Chaude,FRA,FRA
Allée de Coulvreux,FRA,FRA
Allée de Doumenet,FRA,FRA
Allée de Dufaou,FRA,FRA
Allée de Dussin,FRA,FRA
Allée de Face du Château de Croissy,FRA,FRA
Allée de Fanfré,FRA,FRA
Allée de Farbos,FRA,FRA
Allée de Flechères,FRA,FRA
Allée de Floréal,FRA,FRA
Allée de Fontenailles,FRA,FRA
Allée de Fontfrède,FRA,FRA
Allée de Fortpuy,FRA,FRA
Allée de Fouron,FRA,FRA
Allée de Franoux,FRA,FRA
Allée de Fredauville,FRA,FRA
Allée de Gachot,FRA,FRA
Allée de Garrot,FRA,FRA
Allée de Genetines,FRA,FRA
Allée Degeyter,FRA,FRA
Allée de Ginouilhac,FRA,FRA
Allée de Goldenstedt,FRA,FRA
Allée de Grasville,FRA,FRA
Allée de Guernes,FRA,FRA
Allée de Guillos,FRA,FRA
Allée deï Fado,FRA,FRA
Allée de Janvier,FRA,FRA
Allée de Jérusalem,FRA,FRA
Allée de Judas,FRA,FRA
Allée de Keraliguen,FRA,FRA
Allée de Kercadoret,FRA,FRA
Allée de Kervaire,FRA,FRA
Allée de Kervilly,FRA,FRA
Allée de la Basse Couture,FRA,FRA
Allée de l'Abbaye Saint-Georges,FRA,FRA
Allée de l'Abbé de Saint-Pierre,FRA,FRA
Allée de l'Abbé Guillot,FRA,FRA
Allée de l'Abbé Jolibois,FRA,FRA
Allée de l'Abbé Legendre,FRA,FRA
Allée de l'Abbé Suire,FRA,FRA
Allée de La Bédoyère,FRA,FRA
Allée de la Bellardière Terves,FRA,FRA
Allée de la Belle Vue,FRA,FRA
Allée de la Bigotterie,FRA,FRA
Allée de l'Abîme,FRA,FRA
Allée de la Bonnelie,FRA,FRA
Allée de la Bonnetie,FRA,FRA
Allée de la Bottière,FRA,FRA
Allée de la Bourgeat,FRA,FRA
Allée de la Bourgée Froide,FRA,FRA
Allée de la Bourlie,FRA,FRA
Allée de Labrousse,FRA,FRA
Allée de la Brua,FRA,FRA
Allée de la Bury,FRA,FRA
Allée de la Buta à Colas,FRA,FRA
Allée de la Campanile,FRA,FRA
Allée de la Capelière,FRA,FRA
Allée de la Capitainerie des Chasses,FRA,FRA
Allée de la Cardinerie,FRA,FRA
Allée de la Casinette,FRA,FRA
Allée de la Célinière,FRA,FRA
Allée de la Céruse,FRA,FRA
Allée de la Chatterie,FRA,FRA
Allée de la Chaux,FRA,FRA
Allée de la Cistude,FRA,FRA
Allée de la Clairière Cazaux,FRA,FRA
Allée de la Clémencière,FRA,FRA
Allée de la Clinerie,FRA,FRA
Allée de la Closerie de Lou,FRA,FRA
Allée de la Colo,FRA,FRA
Allée de la Comtesse Adèle,FRA,FRA
Allée de la Comtesse Élisabeth de Vanssay,FRA,FRA
Allée de la Convention des Droits de l'Enfant,FRA,FRA
Allée de la Corvée,FRA,FRA
Allée de la Cour Haute,FRA,FRA
Allée de la Cramière,FRA,FRA
Allée de la Croix Botton,FRA,FRA
Allée de la Croix des Bergères,FRA,FRA
Allée de la Croix d'Hins,FRA,FRA
Allée de la Croix Richalt,FRA,FRA
Allée de la Croule,FRA,FRA
Allée de la Dent du Chat,FRA,FRA
Allée de la Désirée,FRA,FRA
Allée de la Doberie Saint-Aaron,FRA,FRA
Allée de la Farotte,FRA,FRA
Allée de la Fecht,FRA,FRA
Allée de la Fermilière,FRA,FRA
Allée de la Flouquette,FRA,FRA
Allée de la Fond Bénite,FRA,FRA
Allée de la Fosse à la Reine,FRA,FRA
Allée de la Fosse du Fresne,FRA,FRA
Allée de la Fosse Fleurie,FRA,FRA
Allée de la Fosse Moizard,FRA,FRA
Allée de la Framboiserie,FRA,FRA
Allée de la Gaizie,FRA,FRA
Allée de la Galinière,FRA,FRA
Allée de la Gavotte,FRA,FRA
Allée de la Grande Côte,FRA,FRA
Allée de la Grange des Bois,FRA,FRA
Allée de la Grange Neuve,FRA,FRA
Allée de Lagrangette,FRA,FRA
Allée de la Guillebaudrie,FRA,FRA
Allée de la Guiraudière,FRA,FRA
Allée de la Hacquinière,FRA,FRA
Allée de la Halle aux Cuirs,FRA,FRA
Allée de la House,FRA,FRA
Allée de la Huche,FRA,FRA
Allée de la Jarrige,FRA,FRA
Allée de la Lande Menue,FRA,FRA
Allée de la Lande Terrée,FRA,FRA
Allée de la Lauch,FRA,FRA
Allée de la Linaire,FRA,FRA
Allée de la Lombarderie,FRA,FRA
Allée de la Louvie,FRA,FRA
Allée de la Lusitania,FRA,FRA
Allée de la Lutèce,FRA,FRA
Allée de l'Amachoto,FRA,FRA
Allée de la Maisonneraie,FRA,FRA
Allée de la Manche,FRA,FRA
Allée de la Manivelle,FRA,FRA
Allée de la Mare Cavalière,FRA,FRA
Allée de la Mare Cavelière,FRA,FRA
Allée Delamare Debouteville,FRA,FRA
Allée de la Mare Gauthier,FRA,FRA
Allée de la Mare Gautier,FRA,FRA
Allée de la Marzelle,FRA,FRA
Allée de la Massais,FRA,FRA
Allée de la Massue,FRA,FRA
Allée de la Mathieu,FRA,FRA
